作者,看板,標題,時間,分數,內容
lgng66133 (Mad Fer It！),movie,[情報] 近期院線預計重映片單,Wed May 13 15:44:52 2020,114,"

因為疫情關係許多片都紛紛延期

導致各片商只能推出舊片重映

這邊整理了我目前知道預計排映的檔期 但不一定會全台排映喔

到時確定有上映後還是請各位要再去查看哪裡會排映



9月11日
《中央車站》《教會》

9月18日
《鋼琴師》《啊，荒野》

9月26日
《羅生門》

9月30日
《剪刀手愛德華》


10月8日
《星際效應》

10月16日
《男人的一半還是男人》

10月23日
【寧靜的長河 2020賈樟柯原鄉影展】
《小武》[經典數位修復版]、《江湖兒女》、《天注定》、《山河故人》

《霜花店：朕的男人》

10月30日
【阿莫多瓦 愛 ．慾．罪 經典數位修復 】
《破碎的擁抱》、《玩美女人》、《壞教慾》、《悄悄告訴她》、《高跟鞋》


11月6日
《綠洲》

11月20日
《惡童當街》


12月預計
《齊瓦哥醫生》


2021年初預計
《魔戒三部曲》

--

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.248.124.155 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1589355894.A.CDD.html
烈火情人和里斯本故事都是甲上的
會喔 Catchplay這次會排映王家衛系列的修復版
打頭陣的是東邪西毒 其他的再等片商公布嘍
個人是建議私訊片商 越多人問機會越高
已更新 也感謝補充
※ 編輯: lgng66133 (203.163.205.230 臺灣), 09/25/2020 22:41:32
"
nice666 (^^),movie,[新聞]裸男校園狂奔 與田祐希超胸反擊 碧藍之海,Tue Oct 20 17:42:22 2020,2,"
新聞網址：https://movie.yam.com/Ent/Article/20201020808024

裸男校園狂奔 與田祐希超胸反擊　小倉優香露肉搶鏡 《碧藍之海劇場版》榮獲日本大學
生電影滿意排行榜NO.1


日本女團乃木?46年僅19歲的成員與田祐希，擔綱女主角的真人電影《碧藍之海劇場版》
，故事講述大學生在潛水社團瘋狂又搞笑的校園生活。片中男主角們肉光四射，龍星涼與
犬飼貴丈賣肉露股演出，泳衣女王-小倉優香也不顧形象只穿內衣上陣，豐滿上圍包不住
；與田祐希則是大翻白眼，崩壞指數破表。電影在日本上映後，奔放毫無節制的表現，讓
與田祐希增加許多粉絲愛戴追蹤，更榮獲日本大學生電影滿意度排行榜NO.1！

與田祐希之前曾為電視節目【乃木?工事中】尋找象徵幸運的海龜，順利取得初級水肺潛
水的執照，非常貼近劇中女主角-千紗的人物設定，她本人也相當喜歡千紗強勢的個性，
「千紗絕對不會輸給那些看起來很不妙的男人們！」但《碧藍之海》是個連原作者都覺得
很母湯的作品，與田祐希經紀人更發新聞稿聲明「真的很對不起我家藝人和粉絲們，對自
己家的藝人和乃木?46的粉絲致上最深的歉意！」

此外，與田祐希推出的第二本個人寫真集<沉默的時間>，成功拿下今年度日本銷售冠軍，
出貨量達18萬本，足見目前當紅魅力。

《碧藍之海劇場版》作品描述主角北原伊織在升上大學後，寄宿在叔父所經營的潛水商店
「GRAND BLUE」，並且與表姐妹-奈奈華和千紗同住一個屋簷下生活。對青春大學新生活
充滿期待的他，被大學潛水社團「Peek a Boo」盯上，連熱愛二次元世界的友人今村耕平
也一起被扯進來，於是展開了一段結合潛水、裸體、酒精、打鬧、妄想、戀愛的荒謬大學
生活。看著青春肉體奮力全裸演出，肯定要進大螢幕體驗才夠爽快！《碧藍之海劇場版》
將於本周五，2020年10月23日全台熱血上映。

https://imgur.com/nxY0zAR

------------------

碧藍之海要上映惹!
裸男校園狂奔這畫面...
小倉優香太正點啦，這比基尼裝我可以
嗚嗚我也好想去潛水




--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.161.15.49 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603186944.A.C5A.html
※ 編輯: nice666 (1.161.15.49 臺灣), 10/20/2020 17:45:39
※ 編輯: nice666 (1.161.15.49 臺灣), 10/20/2020 18:00:22
"
forever920fv (One),movie,[大好雷]無聲，沒有發聲，那就還會發生,Tue Oct 20 18:07:19 2020,8,"

雷文防雷資訊頁
--以下微雷，但看完再看電影應該還ok


無聲，一直被稱作台版熔爐，實際看下來，題材相似，但要談論的議題和論點並不相同，
電影取材自09-11年發生在台南啟聰學校的霸凌和性侵醜聞(後來追查最早發生在2005年)
，先分類談一下幾個最喜歡的部分也最推薦的原因


驚艷的聲音設計
緊扣著無聲這個主題，可以明顯感覺到戴上助聽器時和沒有助聽器時帶給我們的不同，它
取消了聲音的方向性，模糊了人聲的處理，卻在環境音和音效上面放大，讓這些我們習以
為常的聲音，反而在沉默安靜的環境和劇情裡，帶來張力和震撼，包括帶來緊張感的呼吸
聲、悲傷的水聲、倉皇的腳步聲、懸疑的門聲等等，它讓每個音效具有生命力的感染整個
環境，推動著劇情，沒有多餘的配樂，卻在這部相對沉默的電影裡，感覺不到死寂，我不
確定音效放大這件事是否和聾人對這些非人聲的敏感度更高有關係，但可以感覺到電影不
斷想讓我們體會聾人聽感的心思。

學生群的演技
先說，我滿喜歡劉冠廷，特別是陽光普照裡的劉冠廷，但這部的劉冠廷，並沒有讓我感覺
到老師的無力，沒有感覺到真正進入這個角色，當然可能是劇情的安排，導演的選擇，或
者剪接剪掉了他發揮的部分，而學生群的演技卻意外的亮眼。

小光
小光的演技完全值得拿下一座獎，雖然訪談中導演透露，剪掉最多小光鋪陳的戲分，但仍
然有限的片段裡能真實感受到小光這個角色，特別是天台那場大爆發，我確實被震撼到了
，訪談中導演說，包括她本人，連對戲的劉冠廷都被嚇到了，因為他排演時完全不是這個
程度，正式演出卻投了一筆震撼彈。

貝貝
雖然我不是很理解貝貝出場，在派對裡好像吸毒一般的迷茫是怎麼回事，但不愧是被戲稱
為行走中的水龍頭的貝貝，她每一場哭戲都能讓人忘了她在演戲，發自內心的心疼。

張誠
雖然沒有驚艷到覺得他沒入圍金馬獎很可惜，但至少證明了自己是個有實麗的星二代，他
的手語，都讓我感覺到，他好像真的在說話，但，你爸真的是劉亮佐，不是黃鐙輝嗎(?)



~~~~~~~~~~~~~~~~~~~ 雷文 分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

----以下大雷，還沒看的不用往下

再來想談到劇情設計上


比起這裡，外面的世界更可怕。


貝貝學憋氣，有好幾場戲是貝貝和張誠在游泳池，游泳池像是她喜歡的啟聰學校，而憋氣
代表著忍耐，為什麼多荒唐的遭遇，貝貝都想要回去

跟熔爐最不一樣的是，電影拍出了比起這裡，外面的世界更可怕，聾人的無奈、無力，都
來自於無聲。

吐槽一下，但電影院的安排我覺得偏尬，應該可以有更貼近現實的寫法，在被誤會卻無法
解釋的情況下。


我們不是壞人


它不是一個會讓你解氣的結局，它讓我們旁觀了這件事，一切，沒有得到真正的解答，沒
有人是純粹的壞人，也沒有人得到絕對的下場，這一切，沒有告訴你，它落幕了，甚至結
尾留一個寶弟拿起外套做為懸念。

投射到真實事件上，事情仍然沒有真正的解決，彈劾了16個教職人員，然後呢？
過了十年，法案仍在推動階段，媒體從來沒有大肆的報導這件事情，大眾也從未普及的認
知到這件事的嚴重性，現實沒有得到解氣，電影也沒有讓看完沉重的你，得到解氣。

當時的加害人甚至在少年監護所裡怨懟，為什麼對我下手的哥哥姐姐們，沒有得到相同的
處罰，為什麼他們讓我們覺得這一切是正常的，而只有我們要得到糾正。


跟他們一樣欺負我，你就不會被欺負了


這是最心疼貝貝的一句話，也是這部電影不斷在呈現的，共犯結構下產生的染色過程，包
括張誠為了保護貝貝，也對寶弟做了錯事

就算他是被逼的，他還是做了

真實事件中，也確實每個加害人都曾經是被害人，最小的受害者，還只有小學二年級，包
括貝貝得知張誠對寶弟做的事後，去找密醫，也是影射現實中當時有人為了有個啟聰學校
能收留他們的小孩，寧願帶小孩去拿掉子宮，也要送他們進去，而這竟然只是十年前的新
聞。


最後兩點比較有疑問的


他們不敢動我

劇情並沒有說明為什麼大家聽命小光，只有在這句話後，下一顆鏡頭帶到遠景小光父母和
校長談話，大概小光父母是什麼有力人士，根據導演說小光被剪掉很多鋪陳戲分的說法，
這部分可能也被剪掉了。

何仙姑的意義

我能體會身體不好讓八仙收乾女兒，所以畫八仙過海，所以喜歡看戲，八仙中只有何仙姑
是女生，投射於自己也是跟一群男生""一起玩""，也總是笑著面對這一切，說何仙姑給她安
定的力量，甚至在第一次被強暴時看見何仙姑，我都還算能接受。

但張誠被撞，也看到何仙姑我就...無法理解啦...

------

總結來說這部電影有太多可以講的角度，不同的人看可能會因為不同的視角而有不同的感
受，大家來時的路不同，看到的風景也不相同，但我很喜歡電影系學長為這部電影發的一
段註解

它不是用議題包裝的社會電影或文藝電影，不會是那種你們看完常說""阿那些都是你們這
些讀電影或看很多電影的人才會喜歡的啦，我們根本看不懂，不覺得好看的電影""

它是讓各形各色的人看完都能有深刻體會的電影，說真的，剛看完心裡除了沉重和衝擊，
是沒有太多想法的，問我好看不好看，也回答不出來的

但經過兩三天的回想和沉思，才會慢慢去咀嚼出電影中每個重要的片段，現在我可以很肯
定的說，無聲，真的很推薦，很好看。




--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.226.35.9 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603188443.A.407.html
※ 編輯: forever920fv (36.226.35.9 臺灣), 10/20/2020 18:09:31

陳""姸""霏，我老婆，請正名

※ 編輯: forever920fv (36.226.35.9 臺灣), 10/20/2020 18:24:36
※ 編輯: forever920fv (36.226.35.9 臺灣), 10/20/2020 18:45:12
"
moneybuy (),movie,[請益] 刻在你心底的名字 兩個男主角,Tue Oct 20 18:22:30 2020,56,"

有雷
























為什麼兩個男主角
在劇中
一直有兩個人在睡覺的畫面
白天睡覺 在阿漢家睡覺 在火車上睡覺 在mtv睡覺 在騎樓也在睡(去台北那時候)
比起很多電影
真的睡了很多次
很多刷的人記得幾次嗎
印象中在阿漢家2次
火車上3次以上
mtv1次
騎樓1次
有甚麼特別的意義嗎?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.46.55.7 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603189353.A.DE0.html
"
qpr322 (龍魚),movie,[新聞] 平遙官方回應賈樟柯退出平遙影展：「和誰都沒溝通」,Tue Oct 20 18:47:33 2020,8,"
新聞網址：http://news.mtime.com/2020/10/20/1604414.html

日前，“平遙國際電影展”的創始人賈樟柯宣布自己的團隊將不再參與舉辦明年的影展，
而是交給平遙政府來辦。一時間，賈樟柯退出的原因眾說紛紜。

平遙縣委宣傳部接受《中國慈善家》採訪時回應：“他（賈樟柯）自己自以為是地宣布（
退出）了，和誰也沒有溝通，省、市、縣里都不知道。我們政府一貫的態度都是市場運作
、公司主辦，我們是支持人家辦的。”

賈樟柯是在10月18日晚宣布退出的，當時他說：“可能今年是我們這個團隊做的最後一屆
平遙國際電影展，我們沒有花政府一分錢，全部是社會的資本，我們已經把這個品牌打造
好了。”

之後，賈樟柯的妻子、演員趙濤發微博告別平遙影展，“再見平遙影展！賈導再也不用為
影展求人了，也終於可以睡覺了，我還挺開心的！”



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.194.103.31 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603190856.A.459.html
"
vicke (らんせんせん),movie,[好雷] 無聲：你們怎麼現在才來？ ,Tue Oct 20 19:09:33 2020,27,"
雷文防雷資訊頁

滿篇的雷～～～




~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~





~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

這部電影的後座力真的很強
我還沒二刷，腦袋裡卻不時浮現電影裡的一些片段
我想談談寶弟這個角色
就是在電影結尾處，冷眼看著貝貝、張誠他們在校車上蹦蹦跳跳一派歡愉
然後拿著外套斜眼看向一旁睡得不省人事的另一位學生
的那個寶弟（aka小光2.0候選人）

寶弟在片中的鏡頭多是一臉憤恨的神情
結尾往前推一些
當張誠被迫欺凌寶弟的影片被師長們看到
貝貝跑去追問寶弟影片是怎麼回事、要寶弟去跟大人們解釋時
寶弟恨恨地說了一句：「不管怎麼樣，他（張誠）就是做了啊！」

在這更往前推一點
王大軍跟校外的委員約談寶弟時
寶弟目光如刀、瞪視著他們
雙手用力揮舞、問了一句：「你們為什麼這麼晚才來？！」

你們為什麼現在才來？

約莫兩年前吧
我因緣際會，進到一所學校去幫一位聽障生做課堂翻譯
那個學生跟張誠剛好相反，是從啟聰學校轉到一般聽人學校
姑且先稱這位學生為Ａ吧
Ａ聰明伶俐，又喜歡閱讀，在啟聰學校成績很好
老師們覺得他待在啟聰學校太浪費了
加上家長的支持
就把Ａ轉到一般學校就讀
但是Ａ很不願意，轉到一般學校後非常的不適應
在啟聰學校名列前茅的成績
到了一般學校是一落千丈
不僅僅是雞首牛後的差別而已
Ａ受到的打擊不小，整個人顯得十分低落
後來學校的輔導老師決定幫Ａ找手語翻譯來
經過一連串的申請、鑑定、評估等種種行政程序
等我進到學校幫Ａ翻譯時，已經都學期中過了

我對Ａ的印象是個聰明活潑的小孩
因為喜歡閱讀，所以寫作跟閱讀能力也比一般聽障生好上不少
可是即便聰慧如Ａ，在上課時也是無精打采，沒什麼學習意願

在這邊簡單交代一下背景知識
一般學校裡的課堂手語翻譯服務其實很少，並不普遍
而且並不是每堂課都能有翻譯
政府教育局因為經費有限
沒辦法讓聽障學生有全時段的手語翻譯服務
我記得那時候一個禮拜35堂的課
只有12堂課能有翻譯吧
其他的23堂課Ａ只能靠自己努力去跟上

我幫Ａ翻譯過幾堂課後，Ａ開始展現出一些學習意願
很多他原本以為很複雜的東西
在經過翻譯後，他能理解了，然後發現其實一點都不難
這個情形在數學課特別明顯
Ａ的數學成績不好，主要障礙出現在他讀不懂題目
不是因為他中文不好，而是因為他不熟悉數學題目的寫法
（我到這個時候才意識到，數學題目的文字跟一般文章的寫法差很多）
經過手語翻譯、了解題意後，他就能很快地套用公式算出答案

有一次數學課，他提早寫完卷子，就跟我閒聊起來
這個時候他問了一句：「你們以前都在哪裡？」
我一時有點不太了解他的意思
他又說了：「你們為什麼這麼晚才來？如果你們早一點來，這些東西我早就學會了」

你們為什麼這麼晚才來？

Ａ那臉帶點委屈不滿的神情，其實跟寶弟好像。

後來Ａ在那學期結束後，又轉回啟聰學校去了
結束了他短短兩個多月的「聽人學校夏令營」
轉學之前，他告訴我他有點猶豫是不是要轉回啟聰
他隱約也察覺到，在一般學校可以學得比較多
但是，在啟聰學校，他比較快樂。

最後他回去啟聰學校，就跟貝貝一樣。


劇本的這些台詞如果不是萬分之一的巧合
那導演做的田野調查真的很扎實......
好多都似曾相識QQ


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.166.98.143 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603192175.A.899.html
"
f1935tpl (三民李連杰),movie,[經典好雷] 成龍 經典電影回顧《城市獵人》,Tue Oct 20 19:29:55 2020,-26,"

一部電影拍得好不好看  就是用它呈現給觀眾的成品來評斷

導演/編劇/演員私底下放假時間講什麼做什麼  完全不可以牽扯到電影成品上面去

一個專業的觀影人或影評  熱愛電影的真心與評論電影的專業度會在字裡行間不證自明

反之

只會拿錢辦事的商業寫手與工讀生  終其一生都無法達到此等高度與成就

言盡於此

請所有人都客觀理性討論電影本身

謝謝



今天繼續介紹成龍的經典電影:《城市獵人》CITY HUNTER

https://youtu.be/xcFEZUAxgBc


《城市獵人》

是1993年上映的香港動作喜劇

也是成龍少數與王晶導演合作的電影


王晶導演的風格如何　

相信港片看多的朋友們都知道　就是好色下流的低級趣味

雖然下流低級  但受到很多人的喜愛

三民李連杰我也很喜歡看王晶導演的老港片　

王晶的電影很適合頭腦放空時看　總是看到笑到肚子痛


在這部電影裡

成龍也受王晶風格的影響

在電影中飾演武藝高強但老是用下半身思考的好色私家偵探－孟波

在電影中與王祖賢飾／邱淑貞／後藤久美子等一眾美女演員合作　更是讓孟波狂流鼻血

孟波身為私家偵探

受日本大老的委託　到香港幫忙找尋女兒

卻意外捲入了一起恐怖份子劫持郵輪的案件之中

最後孟波誤打誤撞

解決了恐怖份子

成了拯救全郵輪的大英雄


非常好笑

非常好色

非常下流

但也非常好看

這就是王晶＋成龍碰撞出來的奇異火花

難得看到這麼好色下流又低級趣味的成龍

也算是成龍經典電影中的一個特殊嘗試了


其實

孟波這個腳色

光看到與聽到這個名字

在香港粵語裡本來就有性暗示

波－在香港粵語裡經常用來暗示女性的大咪咪大胸部

又加上是王晶導演

成龍版的城市獵人　自然是下流好色到極點

連電影主題曲都是成龍親自獻唱的下流好色歌曲

城市獵人電影主題曲粤語版

https://youtu.be/ahAjqgEC35w

美女（HI）
偷心眼神在噴（Having Fun)
織出快樂迷陣（Yes)
迫我做城市獵人（Oh City Hunter)
美女(Hello)
Red Hot眼神在噴(Red Hot)
燒出美麗濃艷(ah o)
熔化掉城市獵人(Oh City Hunter)
每次見你(City Hunter)
我都想嗌命運命運(City Hunter)
我感覺得到靈魂靈魂  接近

美女(hi)
一眨眼人又近(Having Fun)
只好繼續做(ai)
狂放城市獵人(Oh City Hunter)
City Hunter
I am the city hunter
Everybody wants to be a city hunter
City hunter…

美女（HI）
偷心眼神在噴（Having Fun)
織出快樂迷陣（Yes)
迫我做城市獵人（Oh City Hunter)
美女(Hello)
Red Hot眼神在吻(Red Hot)
燒出美麗濃艷(ah o)
熔化掉城市獵人(Oh City Hunter)
每次見你(City Hunter)
我都想嗌命運命運(City Hunter)
我感覺得到靈魂靈魂  接近

美女(hi)
一眨眼人又近(Having Fun)
只好繼續做(ai)
狂放城市獵人(Oh City Hunter)


三民李連杰

上上一篇文介紹的《龍的心》是成龍與洪金寶嘗試走文藝感情元素路線

上一篇文則是介紹《奇蹟》則是成龍嘗試過將最多元素與路線置入並達到最全面的電影

這一篇文的《城市獵人》就是讓我們看到成龍與王晶一起大搞下流好色低級趣味的經典

真的是各有特色

成龍的每部經典電影都值得珍藏欣賞！


一個沒有欣賞看過成龍經典電影的人

不能稱為一個專業的觀影人或影評


三民李連杰非常建議所有人趕快去找成龍經典電影的二手VCD或DVD來珍藏

一窺國際巨星與我們台灣女婿:成龍的經典電影


三民李連杰告辭

謝謝


--
高雄三民李連杰
顧名思義來自高雄三民
偶像是功夫皇帝李連杰
可能是從小看李連杰的電影看久
耳濡目染之下長大後也變得像李連杰一樣帥氣
常被高雄三民的單身少女少婦誤認為李連杰本人
有點困擾


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.248.119.110 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603193398.A.BC7.html

電影版如果無法接受任何人發表關於成龍電影的觀後心得文

就應該新定板規  明定哪些人的電影作品不可以討論

而不是這樣用留言式的網路霸凌來欺凌專業影評
※ 編輯: f1935tpl (111.248.119.110 臺灣), 10/20/2020 20:21:58
"
modem (),movie,[好雷] 無聲：一次精彩的改編,Tue Oct 20 19:54:39 2020,11,"

~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

終於看完《無聲》，是我今年迄今最喜歡的台灣電影！

這部作品改編自真實事件，講述啟聰學校發生的駭人聽聞的性侵事件。故事從轉學生張誠
進到這所學校開始，學校座落郊區，寧靜的氣氛、友善的老師，以及嬌小可愛，有著燦爛
笑容的同學貝貝。起初一切都很順利，直到他在校車上目睹貝貝被同學們性侵，首腦是學
長小光。令他驚訝的是，隔天貝貝竟若無其事和他們打球，張誠忍無可忍向老師揭發，才
發現原來不是單一個案，而是行之有年的「殘忍遊戲」，更可怕的是，事情沒有因此平息
，連他自己都受到波及。

#一場分不出好人壞人的黑暗遊戲

劇本非常精彩，情節安排得相當巧妙，從進入新世界、發現惡行、揭發、處理、轉折到結
尾，都處理得乾淨俐落，用兩三場戲就表現出聾人在聽人世界中的無助和危險，人物刻劃
也很細膩。站在貝貝的角度，啟聰學校是從幼稚園到高中待習慣的地方，是聾人的避風港
也是僅有的世界，加上家裡是經濟弱勢的隔代教養家庭，因此她寧願忍耐也不揭發，除了
不想讓阿公阿嬤擔心，也害怕到一般學校交不到朋友。

劇情後半段轉移到小光身上，防備心重的意見領袖，卻因為一通簡訊嚇得變臉。原來他從
小四開始就被美術老師性侵，對大人的信任完全瓦解，轉而將怒氣發洩在同學身上，開始
唆使其他人做同樣的事。而張誠原本以為告訴老師就能解決問題，卻發現自己太天真，於
是被迫遵守遊戲規則，在這個「一起玩」的遊戲中，加害者曾經是受害者，受害者也會轉
變成加害者。

即使有老師願意幫忙，也受制於想息事寧人的同事和校長，他們聽見了學生的求救卻束手
旁觀。就像《廢墟少年》中提到在安置機構被性侵的孩子，老師無法24小時跟在旁邊照看
，出事後有些機構擔心會影響捐款，選擇冷處理，受害者更怕受到二度傷害決定噤聲，形
成惡性循環。電影中，從頭到尾看到劉冠廷一個人疲於奔命，又要調查，又要跟校長溝通
，還要保護學生，就是最真實的寫照。

#那些無聲中的聲音

演員表現十分出色，劉子銓（張誠）、陳姸霏（貝貝）和 金玄彬（小光）這三個年輕演
員都讓人眼睛一亮，尤其小光的角色最為複雜，轉折也最大，金玄彬非常厲害，很成功牽
動觀眾的情緒。雖然片名是《無聲》，可是電影的聲音設計最讓我驚艷，環境聲音和效果
音運用得相當突出，學生們的台詞幾乎是手語傳達，但每一次發聲都痛徹心扉。

值得一提的還有場景選擇，導演拍很多校園的空景，用水的意象和陰暗的色調，塑造壓抑
沈重的氣氛。隨著故事推進，真的讓人覺得有一股怒氣無處宣洩，伴隨而來的是強大的無
力感和挫敗感。電影取材真實事件，透過處理抹平特定人事時地物，不只是保護當事人，
也把題材從個別案例上升到社會現象，是很成功的改編。

除了何仙姑兩場戲太過具象有點出戲，其他的表現都很精彩，覺得沒有入圍金馬獎最佳劇
情片實在可惜，推薦大家進戲院看這部電影。


—

追劇就要喝珍奶啊！
https://reurl.cc/EznOD1



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.83.114.74 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603194881.A.1EB.html
"
torrest (torrest),movie,[討論] 寄生上流是紅在哪？,Tue Oct 20 21:31:35 2020,17,"

最近才開始看了這部得了一堆獎的電影

整體來說是還可以啦

只是主角砍人動機真是低落到不行

夫妻之間有點小情趣也沒什麼

躲在別人沙發底下結果自己看到在惱羞

幹盡些偷雞摸狗的事情

結果被評為小人物的悲歌是哪招

完全傻眼石虎

不知道有無人跟我想的一樣？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.30.168.71 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603200697.A.C76.html
"
