作者,看板,標題,時間,分數,內容
曾敬驊飾演外放同時詮釋內心猶疑的Birdy一角，他把角色的雙重反差展現得恰如其分，
有別於在《返校》的演出，更加立體而出采，他的眼神實在是太會演戲了！（會掉進漩渦
的那種 <- 又是老派的形容。哈哈）

兩位主演猶如是《七月與安生》的翻版，拆開是鮮明具有特色的個體，合體又有1+1>2的
微妙化學反應和火花，撇除評價的好與壞，真心的謝謝他們各自把張家漢與王柏德發揮得
這麼好！

其他要角我則是相當喜歡王彩樺飾演的張媽媽，其中兩幕的表情細微變化，更是讓人見證
到為人母的溫暖，身為處在那個時空背景的傳統母親，縱使帶些不解，伴隨著難過，但這
個角色就像是自帶微弱的陽光，是安定的力量，這些細節的詮釋也讓人鼻酸。去年《陽光
普照》的溫貞菱殺進金馬獎入圍名單，今年的名單開出來很可惜沒有看到王彩樺，或許真
的就是少了那麼一點點運氣吧，可惜啊...

最後，再一次地讚嘆電影配樂，反覆聆聽後（串流平台、數位專輯已上架了，看完電影也
別忘了支持），真心的認為今年最讓人驚豔的配樂就是這片了！由侯志堅擔綱配樂譜寫及
音樂總監，通篇妥善的運用大提琴、小號，傳遞角色的心境和情緒起伏，透過音樂構築愛
意傳達的橋樑，聲音語言交織映襯著在那個令人窒息、無法勇敢表達愛的時代背景下，依
然不放棄追求愛的自由的靈魂。

配樂最迷人之處，就在於它沒有對白，沒有文字和意象，單憑音符跟旋律就能勾勒你的畫
面，大提琴和小號的碰撞，猶如阿漢和Birdy的眼神交會、眉目傳情，這就是配樂成功了
的證明！

「每個人心中都有一段刻骨銘心的愛情，都曾有一個名字，刻在了彼此的青春裡，不管過
了多久都一直深藏在心底」。監製編劇瞿友寧表示「去年我們說:『愛最大』，今年可不
可以讓我卑微的請求：『愛你我都一樣』！」

或許看一部電影不需要有多大的體悟，也不必要有多深的反思，但我認為《刻在你心底的
名字》傳達了一課－「教我們要有去愛一個人的勇氣，同時，教我們要具備相信自己值得
被愛的自信。」

以上內文就是我在社群平台分享過的觀後感，前前後後總共寫了七篇《刻你》的文章，一
篇比較正式的影評，還有數篇觀後感，包含兩位主演的獨立心得文（最後還有感而發寫了
一篇心情雜記），大家如果有興趣想看的話，我會再分享上來。Thanks 

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.11.165.109 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603128239.A.816.html
※ 編輯: lurock001 (39.11.165.109 臺灣), 10/20/2020 01:25:56
※ 編輯: lurock001 (39.11.165.109 臺灣), 10/20/2020 01:33:39
※ 編輯: lurock001 (39.11.165.109 臺灣), 10/20/2020 01:45:35
※ 編輯: lurock001 (39.11.165.109 臺灣), 10/20/2020 01:48:21
謝謝你 ：D
家漢媽的細微表情變化真的很打動人心
配樂大推啊！！！
超愛小號TAT
愛死了！
真的有這種感覺！
敬驊就是在文章留言「謝謝你」，後面加上一個外星人的emoji
好！
咦，這邊可直接貼帳號資訊上來嗎？
※ 編輯: lurock001 (39.11.165.109 臺灣), 10/20/2020 17:16:50
"
w28956919 (chen su ),movie,[普雷]無聲 - 好看緊湊不冷場，但我更想看觀點,Tue Oct 20 01:51:10 2020,11,"


劇情很緊湊，很快的會把你帶到聾人的世界。
身為聽得到的人，本來就難以理解聾人，在這部片透過電影放大視覺、
鮮少對白及音效處理，讓觀眾暫時身處於聽障障世界。
整體而言是一部可以去戲院看的國片，一起支持國片。





~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*






~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~




版上一片好雷，但去電影院看後只覺得「還行」。雖支持國片，還是要平衡一下報導。
總結來說整部沒有冷場；但也沒有觀點，人物刻畫顯得不足。


#1 整部片除了把案件改編完，然後勒？
整部片最後就事「我們都不是壞人」，以很多事在一種灰色地帶結局。
但如果這就是整部劇主軸，這種模稜兩可的立論個人覺得有點無聊。
就像辯論，總是正方以及反方都要提出立論，並且有支持的觀點，
但這部確是跟我說兩邊都沒錯，所以大家都是受害者？
那我就好奇有什麼立論嗎？還是就陳述事實而已。


#2 人物刻畫相對模糊
整部片部分人物讓我有點難入戲。
我覺是整部戲想要把太多人物都刻畫完整；
結果卻每個人雖都刻畫了，但都有點瑕疵。
照理來說這部片講學生時期，大部分觀眾已經歷過，
應該能把角色投射到自己過去遇到的人身上，進而同理，但我卻無法。

寶弟
最後寶弟要變成加害者的部分，理解不能。
就整個共犯體系來說，一定超多人有寶弟這個經歷，畢竟體系高達百來人，
為何要偏偏選一個看似弱者，然後在個光天化日的情境
（畢竟連一開始的性侵都有用超多衣服遮了、還有都是變學長才開始帶頭做壞事）。
我也不懂他一開始爽快告發，後來又不幫貝貝的忙。
- 總結就是我跟寶弟很不熟

反派 - 小光
最主要的加害人，過去有段受性侵的經驗，陰影造成他現在的行為。
這整段邏輯好像很合理，但真實的世界沒有那麼簡單吧？
因為這個角色除了跟老師最後的對手戲，大部分都是人物側寫，
跟同學相處愉快、功課好、聰明、面對大人防衛心重、有點心理上覺得不被社會接納。
但要跟我說這個配方配一配就會變成性侵加害人？還是有點不懂？

小光的小夥伴
他們會覺得小光很可憐拿影片給張誠（主角）看，去博取同情。
看似合理，但他們早做過那麼多壞事，要的話也是爆打張誠一頓吧，
小光自殘，然後沒有一個脈絡跑去跟張誠說小光很可憐，是不是有點怪？

張誠、貝貝、王大軍
主線角色就幾乎能懂他們的想法，但有些情緒面處理覺得稍微粗糙。
像大軍在處理張誠舉報時的反應，
雖然冷靜點是教職的專業，但這種事情應該要馬上氣炸吧？
自己在學校連小打架都被訓話訓超久？打破窗戶就要罰站一整天了。
但我自己也不清楚聾人學校的狀況。
另外就不懂張誠當時會吃小寶弟，而不是中二爆氣？以他的人設應該要爆氣吧～
不過貝貝很可愛(一些不理性)。

#3 未完整呈現的社會結構問題
現實遠比電影更深刻
去查了真實事件以前的新聞。原始事件也高達92件性侵案，而且還持續了多年。
從這樣的故事改編，除了原本的資訊量就很大，真的去了解受害的內心應該也有難度，
所以這部電影在人物刻畫才會讓我覺得不足吧。
而且能不能從受害者身上了解事情的始末又是另一件事情，畢竟可能造成二度傷害。

更多深思的點
新聞裡包括更大的社會結構問題也是個值得深思的點。
電影只是在老師還有校長對話間稍稍提到，但再探討下去好像要做成另外一部片了。

我覺得沒什麼觀點的原因，是於這部戲只是陳述事實。
沒有更深刻的去站在角色面，看到這一切的荒誕；
也沒有從結構面討論社會問題，並以特定立場看事情。


原始的事件就參考以下連結：
https://tw.youcard.yahoo.com/cardstack/e06fde10-615d-11e7-bf20-3b3a1de9bfac/叫學生嫁給強暴犯%20台南啟聰學校集體性侵事件簿
https://tw.youcard.yahoo.com/cardstack/f9566b70-0f9b-11eb-8a6c-e973cdaf6346/《無聲》痛揭台南啟聰學校集體性侵案！92名被害特教生的撕心吶喊被聽見了嗎
「沈默」- 陳昭如

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.192.37.218 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603129872.A.575.html
※ 編輯: w28956919 (123.192.37.218 臺灣), 10/20/2020 01:53:25
"
peachchoc (peach),movie,[選片] 消失的情人節 無聲 刻在你心底的名字,Tue Oct 20 02:35:20 2020,98,"

我明天要出國了，不知道什麼時候可以回來。
想要在離開前看部國片，請問大家最推薦哪部：

1. 消失的情人節
2. 無聲
3. 刻在你心底的名字


特定需求：
值得支持的國片。
不要超級暴力血腥 不要阿飄

個人偏好的電影類型：
不知道怎麼形容，應該是有幽默感（不會為了搞笑而搞笑）或是人設感覺很真實。

想得到+喜歡的電影：
紅磨坊 午夜巴黎 當哈利遇上莎莉 熟男型不型
搶救雷恩大兵 黑暗騎士 巴霍巴利2  末日之戰
兔嘲男孩 史瑞克123
婚姻故事

謝謝大家！
-----
Sent from JPTT on my iPhone

--
Good Luck.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.171.161.62 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603132526.A.F3A.html
"
abcdegg (ilove71n),movie,[問片]  阿兵哥的影片,Tue Oct 20 04:41:13 2020,5,"
如題

大部分的劇情內容和演員都忘光光惹

只記得影片後段有個連對連的對抗賽

要俘虜對方陣營獲勝

主角他們的戰術好像是

10個以上不打 2-9個裝做沒看到

1個人落單才出手

接著對方有個人落單

他們出手反而中了埋伏

最後靠一個原住民阿兵哥和他的朋友逆轉

補充一下

有點記得敵方陣營的班（連）長眉毛挺粗

對抗賽前好像被撕下來 最後貼回去

感謝各位大大

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.247.90 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603140075.A.02A.html
對 感謝大大
※ 編輯: abcdegg (180.217.247.90 臺灣), 10/20/2020 12:22:53
"
mysmalllamb (小羊),movie,[好雷] 被告 Acusada (2018 阿根廷片),Tue Oct 20 05:18:40 2020,1,"
去年金馬影展上過一部 2019 法國法庭片《戴腳鐐的女孩》La fille au bracelet，雖沒上院線但今夏也上各大串流平台了；其實《戴》片是改編自另一部 2018 阿根廷懸疑片《被告》Acusada ，本週竟也在院線上映了！這兩片都在談神似 Amanda Knox事件的閨蜜兇殺案：原為閨蜜的被告女主與受害人因上傳情色錄影而起紛爭、曾經很少女地嗆過「我宰了妳」後也算和解了；但後來某天在受害人家開派對後、翌日中午左右她竟身中多刀死在床上！好死不死女主角習慣性在她家睡到近午起床、而且還有嗆聲構成動機、更因科學鑑識找不到其他嫌疑犯、於是矛頭全指向女主角！
https://pics.filmaffinity.com/Dolores-535998212-large.jpg


兩片都在講類似的懸案、都在打類似的官司、案情的關鍵疑點也大同小異、更討厭的是兩片都保留模稜兩可任人解讀的開放性結局。不過兩片著重點不同、表現法不同、視聽風格也不同、所要批判質疑的事物也不同：《被》片主打法庭外的媒體公關與風向、《戴》片主打紮實的法庭辯論；《被》片人人為了左右官司結果無所不用其極、《戴》片人人壓抑隱忍靜待司法程序釐清真相；《被》片角色熱情攝影華麗、《戴》片角色冷靜攝影極簡；《被》片充滿豪宅攝影棚名嘴脫口秀與雜誌專訪、《戴》片景觀則非常單一就只有 Jean Nouvel的南特法院高科技極簡建築！

同樣有趣的是兩片導演對女主角演員的選擇：《被》片選了 26 歲的阿根廷流行與舞曲天后 Lali Espósito 演開庭時 21 歲的女主角、《戴》片選了 18 歲初次演戲的素人演員 Melissa Guers，前者演技多變高調、後者演技沈靜神秘；無獨有偶，《被》片塑造了一對盡全力美化形象狂帶風向甚至煙滅證據的富裕控制狂父母、《戴》片則塑造了一對雙手一攤含淚陪伴靜候判決的小中產爸媽；甚至在法律辯論上，《被》片的辯論是非常激情鼓譟可帶風向的、是我也不敢相信這裡的司法，《戴》片的辯論卻是理性嚴謹檢辯分立切中核心的、其司法氛圍令人更加有信心！

這兩部一前一後雖然風格不同、在影評間都有難分軒輊的高評價！我對兩片的喜愛也難分高下，只覺得是「華麗熱情 vs 理性極簡」不同風情的發揮。雖然這兩片都沒明言致敬或取材 2007 年赴義大利交換時捲入閨蜜命案的 Amanda Knox，但我相信 30 歲以上西方觀眾看到這兩片都會不由自主聯想到她，畢竟兩片的官司亂象都與 Knox 案的多年纏訟有部分似曾相識：先拍的《被》片，也許再現了法庭外圍令人眼花撩亂的風雲、使得官司遠遠不止關於法律；後拍的《戴》片，則看來很有意地把這些華麗表象與亂耳風波都去除、直指就算「官司全關於法律」一樣令人惴惴不安！
https://fr.web.img6.acsta.net/pictures/20/01/13/10/48/2722327.jpg


以下專心談這部阿根廷片《被告》Acusada ：家裏富裕正在上大學、有志攻讀服裝設計正在申請巴黎學校的女主角 Dolores，兩年前在閨蜜家開完趴倒在她家睡死後、翌晨起床大約 11h30去接她弟弟放學、大約 12h20接到，誰知就在這段時間左右閨蜜被人發現陳屍床上、最後一個見到閨蜜活著的人就是她！更別說在犯案現場採集到很多她的 DNA、她當天穿的 T-shirt離奇消失凶器也遍尋不著，經鑑識判定凶器可能為裁縫剪刀後、輿論一面倒指向「她學服裝設計」就是裁縫剪刀手！更何況，她們本來就愛喝酒開趴、性關係也亂成一團、媒體輿論好多狗血素材可拿來獵巫...

於是，本片這「官司故事」的開場不是法庭、甚至全片恐怕有 80%都不是法庭 XD 而統統是各種公關門面形象塑造！她的律師不在意真相證據與推理，只不停指導她演出媒體疼愛的無辜少女形象；她每天沒在上學也也沒在研究案情，反倒都在購物治裝做造型、佈置客廳拍沙龍照、到處上節目接受訪談、在社區場合端莊亮相、爸媽幾乎已成了她的經紀人、律師幾乎已成了她的公關儀態顧問... 她身遭的世故大人看來早有意識更有共識：司法不可信、一切都只是表演，事實真相不重要、講個動人故事才重要，女兒是否真兇都是假議題、爸媽為女兒傾家蕩產的「愛」才是真議題！

當然，如果司法不受信任已被架空、只剩一場公關遊戲時，其實「遊戲規則」就在那邊誰都知道：妳就算打造自己端莊乖巧楚楚可憐、別人也知葫蘆裡在賣什麼藥，相對地對方處心積慮把妳打成淫婦婊子人盡可夫時、明眼人也看得出這只是公關戰爭的日常。此時，我們女主角 Dolores準備不按牌理出牌了，首先由剪頭俐落短髮開始，不再維持楚楚可憐受害者形象、而要轉當女強人做自己主人！這首先把爸媽和律師等一眾經紀公關型大人都給嚇到了。隨後她的生活要和誰交友、她的日常要出沒在哪裡、她的媒體露出要什麼樣子、甚至她在受訪時要怎樣抒發，都要做自己。
https://mx.web.img3.acsta.net/r_1920_1080/pictures/19/06/13/15/43/0796826.jpg


此片魅力就在這「做自己」的曖昧性與懸疑感：到底她只是個血氣方剛的少女不想再受父母與大人的擺佈、決定豁出去說真話做自己？還是她城府更深地知道父母都在做白工、而決定不按牌理出牌把公關戰升級、塑造一個沒人能夠捉摸的新形象？這件事既挑戰片中的社會大眾與陪審團、也挑戰銀幕前的觀眾們。我們觀眾畢竟還是比社會大眾更有「上帝視角」的，畢竟編導心裡可能還是有個「真相」的存在，而他們至少願意對觀眾呈現多一點 Dolores與身遭大人隱藏起來不願示人的秘辛。這秘辛，直到電影極後段時，才發生在兩個本片對觀眾相繼揭露的關鍵事件上：

第一個，是爸媽仍藏了秘密，甚至連對 Dolores與律師都瞞了：案發當天，Dolores 就把染了血的背包背回家、裡面裝著染了血的 T-shirt，這在第一時間可是令人超緊張覺得跳到黃河也洗不清的關鍵證物！於是爸爸驚慌了、也迅速下了堅定的決心：馬上把這包包丟到他們家農莊的井裡去，讓它隨河水一去不返，正如他們家傳統「將秘密告訴水井」永遠埋葬掉，然後當沒這回事全心打無罪辯護的官司。這件事，Dolores 自己也不知道，因此「證物不見」令她很困擾、也讓她在法庭與媒體前百口莫辯；但她對這件事自有自己的正當說詞，反而因爸爸自作主張煙滅證據而困擾。

第二個，是 Dolores也藏了個罪咎秘密，連對幫她拼命打無罪辯護的爸媽和律師都瞞了：她在案發當天從受害人家起床時，是有看見受害人已陳屍床上的！只是因為自己身為少女心慌意亂、不想接受事實更沒膽面對、因此匆匆收拾了自己東西趕快離開現場、好希望當這一切都沒發生過。當然，這是她聲稱她對法庭與媒體的隱瞞、也是她在片末對父親聲稱的真相，我們觀眾對於這「聲稱」有多真實還是值得存疑的，本片鏡頭給的回憶片段也有保持開放解讀的空間。重點是：我們觀眾在此知道 Dolores也是會說謊的，她的「做自己」也未必是真誠、而更可能是屬於自己的公關。
https://mx.web.img3.acsta.net/r_1920_1080/pictures/19/08/26/09/27/2023929.jpg


倒是 Dolores真正超越眾人眼界的，是跳脫爸媽律師與眾大人都緊抓不放的「形象工程」，決心另類出擊仍訴諸「法律」本身，於是在面對 Gael Garcia Bernal 飾演的談話節目主持人（阿根廷寶傑哥？）時大膽提出新見解：「這只是個無端的指控、其實完全沒有直接證據可以證明我、只有各種旁敲側擊建立我動機塑造我成為兇手」；我就大方告訴你們，「我有動機想殺她、但我沒有就是沒有」一切讓證據說話。唉唉，畢竟關鍵證據都沒了，這張訴求「忘卻形象、回歸司法」的理性牌一出，不但對自己萬無一失，連被嗜血媒體與激情大眾困擾已久的法律人們也不得不點頭。

這「回歸司法」，也許就是此片對其直指的 Amanda Knox事件所做的忠實致敬吧？Amanda Knox 是個花蝴蝶、被檢方與歐媒努力打臭為放蕩淫婦、也被辯方與美媒努力塑造為楚楚可憐的美國女兒，最後也真正是因「罪證不足」而獲判無罪、但真兇仍未找到也仍有許多人堅信就是她。這案子就這樣令辯方與其支持者欣慰地迎接他們的正義、卻讓受害人沉冤未解仍未能找到真兇。沒辦法，有別於銀幕前觀眾所期待的司法正義天理恢恢，真實世界的司法很多時候就是這麼有限：只要證據遺失了難以蒐證、或是證據在第一時間就被毀了沒人知道，若司法真理性嚴謹也只能冷靜放下。

到底本片這案是「證據遺失」還是「煙滅證據」，本片有藉爸爸之口給觀眾一個答案；倒是女主角 Dolores到底是「天真無辜」還是「城府極深」，本片不但不給答案，還讓她交出一場兩者結合的超強演技：她不管有沒有殺人、她都是身負罪咎的，這罪咎既然在她臉面肢體上隱藏不住、那乾脆別隱藏就大方流露出來。如果她真殺了人，那這罪咎就是殺人痛悔的罪咎，只懇求老天再多給她一個機會、讓她能瞞過陪審團重獲自由新生；如果她其實沒殺人，她也對當天看到閨蜜陳屍卻不敢面對的「轉頭就走」心懷罪咎、甚至想對受害人母親說聲抱歉，雖無辜但將背負罪惡過一生。
https://mx.web.img3.acsta.net/r_1920_1080/pictures/19/06/13/15/43/0754707.jpg


本片雖談本應冷靜理性的兇殺案官司，但片中世界與電影表現都是滿滿激情！女主角可以破浪而出解救自己的過人之處，正是超越激情回歸理性、超越形象工程回歸司法辯論，畢竟不管她卻不是兇手、證據與推理都站在她這邊、當然要號召大家「相信司法」呀 XD 此片華麗熱情、官司像一場馬戲、就看阿根廷天后女主 Lali Espósito 如何以百變演技駕馭這場馬戲！不過看完後我也懷念起改編本片的法國法庭片《戴腳鐐的女孩》，那片極簡清楚、官司就是場理性辯論、就看法國素人演員 Melissa Guers如何以平靜信心不變應萬變參與這辯論。推薦大家兩片都看、比較欣賞。
https://www.youtube.com/watch?v=ghQLldJRv2E

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.169.38.118 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603142331.A.E74.html
※ 編輯: mysmalllamb (118.169.38.118 臺灣), 10/20/2020 06:16:47
"
CYKONGG (XXX),movie,[情報] 查德威克鮑斯曼遺作《藍調天后》預告海報,Tue Oct 20 05:38:18 2020,2,"
★《藍調天后》劇情簡介：

這是1927年的芝加哥。瑪雷尼（薇拉戴維絲飾）和雄心勃勃的喇叭手萊維（查德威克鮑斯
曼飾）在錄音室針鋒相對，氣氛逐漸緊張。白人經理也決心要好好管管這位充滿傳奇色彩
的「藍調之母」。本片改編自普立茲獎得主奧古斯特威森的劇作。



本片預計在今年12月18日於Netflix上線。


★正式預告：

https://youtu.be/cKm0seFgqkQ

★海報：

https://i.imgur.com/xVZc8Z6.jpg
https://i.imgur.com/vuLyxxv.jpg
https://i.imgur.com/cuH6b3k.jpg
https://i.imgur.com/G1TW105.jpg
https://i.imgur.com/vOzw7Wc.jpg
https://i.imgur.com/xD1ZgQd.jpg
https://i.imgur.com/5hSnKwB.jpg
https://i.imgur.com/7ng5Ie4.jpg



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.23.126 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603143500.A.CB5.html
※ 編輯: CYKONGG (101.12.23.126 臺灣), 10/20/2020 05:43:46
"
WARgame723 (ss),movie,[新聞] 鬼滅劇場版三日票房突破45億日幣,Mon Oct 19 11:57:57 2020,5,"https://bit.ly/31ljpC3
 
史無前例！《鬼滅之刃劇場版 無限列車篇》三日票房突破45億日幣，有望打破多項紀錄
自去年《鬼滅之刃》動畫播出後，已經成為了席捲日本的現象級作品，而今年推出的劇場
版動畫《鬼滅之刃劇場版 無限列車篇》勢必會有不錯的票房。但，究竟可以賣的多好？
在上映的前三日也許可以看出一些端倪。
自本片於 16 日在日本上映後，官方所準備的 450 萬份的初回特典，由原作者吾峠呼世
晴所繪製的短篇漫畫「煉獄零巻」在很多戲院陸續傳出被索取一空。依據日本最新的票房
速報，《鬼滅之刃劇場版 無限列車篇》在前 3 天的票房突破了 45 億日幣大關，45 億
日幣這是個怎樣的數字？
由於《鬼滅之刃》動畫當時是在深夜時段播出，因此也被歸類在深夜動畫的範疇，讓我們
先來看看之前歷史上「總票房」前五名的深夜動畫劇場版作品。
《LoveLive! The School Idol Movie》28.6億
《劇場版 刀劍神域 -序列爭戰-》25.2億
《少女與戰車 劇場版》25億
《劇場版 魔法少女小圓 [新篇] 叛逆的物語》20.8億
《電影 K-ON!》19億

是的，《鬼滅之刃劇場版 無限列車篇》只賣三天就打破了所有深夜動畫劇場版的歷史票
房記錄，這已經相當驚人了。那麼如果不是深夜動畫呢？

以前三日票房來說，我們來比對一下近年在日本超賣座的動畫片

《冰雪奇緣》：9 億 8640 萬 5300 日圓（最終票房 255 億日圓）
《你的名字》：11 億 8000 萬日圓（最終票房 250.3 億日圓）
《名偵探柯南 紺青之拳》：18 億 8629 萬 2700 日圓
（最終票房 93.7 億日圓，柯南歷代最賣座）
《天氣之子》：16 億 4380 萬 9400 日圓（最終票房 141.9 億日圓）
《冰雪奇緣2》：19 億 4205 萬日圓（最終票房 133.5 億日圓）





因此可以看出，《鬼滅之刃劇場版 無限列車篇》不僅打破了所有動畫前三日的歷史票房
成績，更是以完全不同檔次的幅度領先，如果票房增勢不減，打破上述名作的票房記錄可
是非常有機會。

以日本自製的動畫片票房來說，目前歷史第一為《神隱少女》的 308 億日圓，第二名為
《你的名字》的 250 億日圓，第三名為《霍爾的移動城堡》的 196 億，《鬼滅之刃》能
否創造歷史？值得動漫迷們關注。



更新官方數據，46億
https://news.yahoo.co.jp/articles/b3dc94a094cb6549481aa99cf538e1ad13bd9d65

---------------------------------------------------------------



日本動畫在全球票房的最高紀錄是你的名字的3.69億美金，鬼滅之刃有機會突破嗎？



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.141.159.189 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603079879.A.3B4.html
※ 編輯: WARgame723 (223.141.159.189 臺灣), 10/19/2020 12:01:47
※ 編輯: WARgame723 (223.141.159.189 臺灣), 10/19/2020 12:02:56
"
CYKONGG (XXX),movie,[新聞] RDJ爆料漫威為省CG錢要他戴回鋼鐵人頭盔,Mon Oct 19 11:59:48 2020,36,"
「鋼鐵人」小勞勃道尼曝漫威為省錢而減少使用CG   戴上鋼鐵人頭盔好像瞎了一樣

https://i.imgur.com/pIjyMiC.jpg

漫威電影宇宙經典演員小勞勃道尼（Robert Downey Jr.）主演的「鋼鐵人」一角深入民
心，真人跟角色幾乎劃上等號，影迷相當不捨他在劇中離世以及卸任，天天盼望著有天小
勞勃道尼仍會穿上「鋼鐵人」的戰衣再次出現。日前小勞勃道尼在節目中再次講到2008年
首次拍攝《鋼鐵人》的趣事。

https://i.imgur.com/LW87kDZ.jpg
▲當主持人問到「鋼鐵人」的頭盔時，小勞勃道尼大笑：「這是個極為出色的問題！」


《鋼鐵人》是漫威電影宇宙的首部電影，也為MCU揭開嶄新序幕，日前小勞勃道尼獲邀出
席節目《My Next Guest Needs No Introduction》，談到2008年首次拍攝《鋼鐵人》時
所戴上的頭盔。

https://i.imgur.com/qhmqw2A.jpg
https://i.imgur.com/DOyF3to.jpg
▲原來小勞勃道尼在拍攝首集《鋼鐵人》時，所戴的頭盔都是真的而非CG。


小勞勃道尼聊到當時的第一個頭盔並不是以CG後製而成。「一開始全部都是真的，因為他
們想在CG上花最少的錢，而當我戴上這個頭盔時，我是完全看不到任何東西的，真的是什
麼都看不見。而當我穿上整套戰衣時，他們會提醒我：『道尼，你現在要降落了，你就像
機械人一樣向前行就可以了。』但其實我戴上頭盔後，在整個被遮蔽的狀況下，我什麼也
看不到，然後那些LED燈就亮了，變成《The Manchurian Candidate》。（註︰一部電影
，講述一個政治世家出身的年輕人，被共產黨洗腦且受人控制，變成殺手）」

https://i.imgur.com/sRqzJQD.jpg
▲小勞勃道尼笑言自己當時什麼都看不到，像個被人洗腦且受人控制的殺手。


不過來到拍攝《復仇者聯盟4：終局之戰》時，劇組有問他：「道尼，你介不介意戴上頭
盔進行拍攝嗎？好啦～」結果小勞勃道尼拒絕了兩次，並回應：「不要！你就在我的眉上
畫兩點（作動作捕捉），你就可以後製頭盔給我吧！」小勞勃道尼的回覆真的霸氣，不過
眼看漫威這幾年也賺了不少錢，演員不想再戴上頭盔、讓自己在什麼都看不見的情形下拍
戲似乎也很正常。


https://i.imgur.com/L6h1rv1.jpg
▲首集《鋼鐵人》的其中一套戰衣。


